,,GMT,,LMT,,,,Lat,Long,Elev (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,3/20/2008,14:03:05,3/20/2008,7:03:05,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,3.62,21,0.004,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/20/2008,17:01:37,3/20/2008,10:01:37,N/A,N/A,N/A,N/A,N/A,N/A,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/21/2008,1:01:37,3/20/2008,18:01:37,N/A,N/A,N/A,N/A,N/A,N/A,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,3.62,26,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/21/2008,4:01:37,3/20/2008,21:01:37,N/A,N/A,N/A,N/A,N/A,N/A,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,3.62,29,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/21/2008,13:05:23,3/21/2008,6:05:23,-1991510,-4136695,4414603,44.4903038,-115.4639076,1392.18,4,3D,Yes,5,2,41,4,35,5,38,9,38,12,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.64,5,0.999,20518602,21188238,21358155,22780393,21110866,0,0,0,0,0,0,0,N/A,N/A
b2,3/21/2008,14:01:39,3/21/2008,7:01:39,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,13,0.999,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/21/2008,17:03:07,3/21/2008,10:03:07,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.62,14,0.999,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/22/2008,1:02:17,3/21/2008,18:02:17,-1991487,-4136670,4414725,44.38041766,-115.0842813,1453.69,10.4,3D,No,3,16,41,20,38,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,18,0.99,21349394,18139442,18073876,19373092,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/22/2008,4:02:48,3/21/2008,21:02:48,-1990797,-4137231,4414277,44.81458097,-114.786013,1290.29,6.2,3D,No,4,3,35,13,41,23,32,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.58,4,0.997,23155516,20168400,19882401,20677273,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/22/2008,6:00:41,3/21/2008,23:00:41,-1990873,-4137315,4414089,44.34232605,-115.4641044,1237.61,2.6,3D,Yes,6,3,41,8,32,13,44,19,41,23,44,25,38,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.62,2,0.993,20857578,19980226,19277154,20524382,22066177,19344723,0,0,0,0,0,0,N/A,N/A
b2,3/22/2008,8:00:53,3/22/2008,1:00:53,-1990931,-4137262,4414192,44.78891713,-115.3037907,1293,6,3D,Yes,5,8,41,17,44,25,35,27,41,28,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.62,16,0.994,18221411,20909079,21641258,19605453,18899928,0,0,0,0,0,0,0,N/A,N/A
b2,3/22/2008,10:00:47,3/22/2008,3:00:47,-1990938,-4137278,4414205,45.0160197,-115.5039871,1314.58,2.2,3D,Yes,5,8,38,11,41,15,35,17,41,28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,3.62,20,0.994,21528292,21443932,21420446,18575795,19548239,0,0,0,0,0,0,0,-1154152,440354
b2,3/22/2008,12:01:27,3/22/2008,5:01:27,-1991172,-4137250,4414297,44.0786247,-115.6415219,1433.35,3,3D,Yes,5,2,41,4,44,9,41,17,44,28,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.64,-2,0.004,22771279,21572358,22145851,23384002,25378738,0,0,0,0,0,0,0,N/A,N/A
b2,3/22/2008,14:01:43,3/22/2008,7:01:43,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,20,0.998,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/22/2008,17:01:43,3/22/2008,10:01:43,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,3.6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/23/2008,1:03:11,3/22/2008,18:03:11,N/A,N/A,N/A,N/A,N/A,N/A,2.2,No,No,2,11,41,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,17,0.988,20485716,18123870,19573228,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/23/2008,4:01:49,3/22/2008,21:01:49,-1991550,-4136467,4415076,44.91328732,-115.115672,1586.05,3,3D,No,4,3,35,13,41,23,35,27,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.58,6,0.004,24412804,21463938,21265517,23525642,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/23/2008,6:02:57,3/22/2008,23:02:57,-1991518,-4136432,4415115,44.47532608,-114.9476827,1580.55,5.2,3D,Yes,5,8,38,10,38,13,38,27,32,28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.62,15,0.008,24009293,26157661,23625430,23432699,25876969,0,0,0,0,0,0,0,-1154232,440427
b2,3/23/2008,8:01:54,3/23/2008,1:01:54,-1991857,-4135739,4415538,44.29774772,-115.6893221,1531.9,4.8,3D,Yes,5,8,41,11,35,17,41,27,41,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.64,3,0.002,21547763,24389208,24010817,23008607,22151678,0,0,0,0,0,0,0,N/A,N/A
b2,3/23/2008,10:00:43,3/23/2008,3:00:43,-1991731,-4136212,4415229,44.54026201,-115.645189,1583.83,2.4,3D,Yes,5,4,38,8,35,11,41,17,44,28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.62,0,0.003,25222798,24955486,24796139,21830470,22861369,0,0,0,0,0,0,0,N/A,N/A
b2,3/23/2008,12:02:42,3/23/2008,5:02:42,-1991339,-4136686,4414961,44.65332162,-115.0865816,1582.07,2.2,3D,No,4,2,38,4,29,9,32,12,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.62,12,0.004,23074065,22023579,22692894,23832274,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/23/2008,14:01:43,3/23/2008,7:01:43,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,3.6,24,0.001,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/23/2008,17:01:43,3/23/2008,10:01:43,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,3.62,34,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/24/2008,1:03:11,3/23/2008,18:03:11,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,15,0.001,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b2,3/24/2008,4:03:11,3/23/2008,21:03:11,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,20,0.999,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
