GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites
12/19/2017 8:01,51.7535796,-115.5830383,1658.16,42,-18,1.6,6
12/19/2017 14:01,51.7535364,-115.5831126,1672.14,29,-16,2,6
12/19/2017 20:07,51.7535601,-115.5830895,1650.97,40,-10,1.6,7
12/19/2017 21:00,51.7535807,-115.583077,1656.8,30,-10.5,2.8,5
12/20/2017 3:03,51.7535119,-115.583132,1667.93,40,-12.5,2.8,5
12/20/2017 9:10,51.7541337,-115.5820776,1384.19,70,-14,2.2,4
12/20/2017 10:00,51.7535661,-115.5831104,1661.9,36,-14.5,3.2,5
12/20/2017 23:00,51.7536203,-115.5827231,1677.51,35,-14.5,1.4,5
12/21/2017 5:06,51.753585,-115.5828657,1672.97,39,-18.5,1.2,6
12/21/2017 11:12,51.7535283,-115.5828708,1656.3,37,-17,1.4,6
12/21/2017 12:00,51.7535167,-115.5828945,1682.79,31,-17,1,7
12/21/2017 18:03,51.7535284,-115.5828213,1671.57,36,-9.5,1.4,5
12/29/2017 19:11,0,0,0,70,16.5,0,0
